Page.Name,Page.Category,Page.Admin.Top.Country,Page.Description,Page.Created,Likes.at.Posting,Followers.at.Posting,Post.Created,Post.Created.Date,Post.Created.Time,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Total.Views,Video.Length,URL,Message
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075548,1092947,2024-07-25 04:30:07 AEST,2024-07-25,04:30:07,Photo,67,35,14,9,0,0,0,1,0,0,N/A,https://www.facebook.com/100020084423101/posts/1459264534753013,"Close to 6.7 million adults in the U.S. have heart failure, and that number is expected to rise to nearly 8.5 million by 2030. Learn about the advances we're making to help change those stats: https://social.jnj.com/4ejXC1C:=:https://www.jnj.com/health-and-wellness/do-you-know-what-heart-failure-is"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075548,1092947,2024-07-24 04:00:56 AEST,2024-07-24,04:00:56,Native Video,40,10,3,7,0,1,0,0,0,593,00:00:10,https://www.facebook.com/100020084423101/posts/1458649111481222,"We’re closing the gap between communities and care by increasing access to our medicines and technologies, championing healthcare workers and partnering with community-based organizations: https://social.jnj.com/3xVqRHy:=:https://belong.jnj.com/2023/patients-customers/close-the-racial-health-gap.html"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075634,1093174,2024-07-20 06:00:48 AEST,2024-07-20,06:00:48,Native Video,37,13,7,5,1,0,0,1,0,954,00:00:08,https://www.facebook.com/100020084423101/posts/1456423951703738,See how we champion diversity in the healthcare workforce to support patients in communities of color—advancing equitable care and putting better health within reach: https://social.jnj.com/4cM9mZg:=:https://jnjinstitute.com/home
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075645,1093212,2024-07-19 05:01:25 AEST,2024-07-19,05:01:25,Native Video,33,6,7,10,0,0,0,0,0,760,00:00:29,https://www.facebook.com/100020084423101/posts/1455828291763304,"We’re driving change for patients, providers, communities and employees to solve the world’s most pressing healthcare challenges. Explore how in our 5th annual We All Belong: DEI Impact Review: https://social.jnj.com/4f5zG2i:=:https://belong.jnj.com/2023/"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075792,1093420,2024-07-12 05:00:51 AEST,2024-07-12,05:00:51,Photo,36,22,14,3,0,0,0,0,0,0,N/A,https://www.facebook.com/100020084423101/posts/1451679512178182,"Diversifying clinical trial research. Creating a more inclusive workforce. Providing opportunity and economic outcomes for businesses with diverse ownership, control or operations.​ These are just some of the ways we're working to create a healthier, more equitable world. Read more about our progress: https://social.jnj.com/4cAuhyB:=:https://www.jnj.com/latest-news/we-all-belong-2023-impact-review"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075839,1093522,2024-07-10 01:00:40 AEST,2024-07-10,01:00:40,Native Video,45,4,15,7,0,0,0,0,2,1103,00:00:08,https://www.facebook.com/100020084423101/posts/1450388252307308,"Through sustainable, steady investment and personalized learning opportunities, we aim to support health providers throughout their careers with programs from residency and fellowship to advanced techniques. Discover our programs at J&J Institute: https://social.jnj.com/4bv973A:=:https://jnjinstitute.com/home"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075815,1093620,2024-07-04 01:00:37 AEST,2024-07-04,01:00:37,Native Video,38,10,16,6,0,1,0,0,2,706,00:00:06,https://www.facebook.com/100020084423101/posts/1446863765993090,"We’re focused on increasing diversity in the healthcare workforce. See how we're driving positive change in surgery, clinical trials and optometry—three areas with considerable gaps in representation: https://social.jnj.com/4b0vWMd:=:https://www.jnj.com/caring-and-giving/ways-johnson-johnson-is-improving-doctor-diversity"
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075743,1093686,2024-06-29 05:01:01 AEST,2024-06-29,05:01:01,Native Video,37,28,10,5,0,0,0,0,2,611,00:00:12,https://www.facebook.com/100020084423101/posts/1444004109612389,We're connecting the best of Health&Care to bring patients and providers around the globe advanced treatments and industry-leading solutions for today’s most complex diseases. See how: https://social.jnj.com/3Vs6zwZ:=:https://www.jnj.com/innovation/reconnecting-the-meaning-of-health-and-care
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075735,1093689,2024-06-28 02:22:45 AEST,2024-06-28,02:22:45,Photo,40,10,13,6,6,0,0,0,0,0,N/A,https://www.facebook.com/100020084423101/posts/1443322146347252,Could we be on the cusp of catching Alzheimer’s before it starts? See the advancements being made by our scientists: https://social.jnj.com/4c37M5a:=:https://www.jnj.com/innovation/catching-alzheimers-before-it-starts
Johnson & Johnson,MEDICAL_HEALTH,US,Like us to see how we're solving the world's toughest health challenges. ,2009-08-25 19:15:11,1075740,1093772,2024-06-25 05:00:54 AEST,2024-06-25,05:00:54,Photo,24,11,6,5,0,0,0,0,1,0,N/A,https://www.facebook.com/100020084423101/posts/1441613743184759,"Did you know: Visual impairment and blindness affect an estimated 1.5 million Kenyans, many of them children.​ See how our global eye care partnership with Sight for Kids is helping restore vision—and hope—to families across the world: https://social.jnj.com/4cpux2R:=:https://www.jnj.com/caring-and-giving/giving-the-gift-of-sight"
